Artifact_ID,Artifact_Name,Museum_ID,Gallery_No,Period_Dating,Finding_Place,Dimension_ID,Provenance_Note,Description,Source_Link
168,Gauri with Infant Sadyojata Shiva,8,History and Classical Art,11th–12th century CE (Pala-Sena period),"Dubalhati, Naogaon District",24,,"One of the rarest and most theologically unusual sculptural types in the entire BNM collection — and indeed among the rarest iconographic types in all of Bengal's medieval sculpture — this horizontal relief slab depicts an extraordinarily intimate and tender mythological scene: the goddess Gauri (Parvati) reclining on her daybed as a new mother, with the infant Lord Shiva in the form of Sadyojata nursing at her breast. The composition inverts the usual hierarchical relationship between Shiva and Parvati in Indian iconography — in which Shiva is the senior, omnipotent deity and Gauri his devoted consort — and instead shows the great god of destruction and dissolution as a newborn child, entirely dependent on the nurturing body of the goddess. This inversion encodes a profound and specifically tantric theological statement: that the male divine principle (Purusha / Shiva) is ultimately born of and sustained by the female divine principle (Prakriti / Shakti / Gauri), and that the goddess in her maternal aspect is cosmologically prior and causally supreme. Sadyojata — ""just born,"" the western face of Shiva associated with creation and the earth element — is here literally just born, the great Creator-Destroyer as an infant at the breast of the Mother of the Universe. Reclining on her day bed with her newborn, bejeweled Gauri enjoys a foot rub from a lady-in-waiting. The baby nursing at her breast is Lord Shiva in the form of Sadyojata. The divine mother is healthy, conveyed by her contented smile and sensuous waist. Various offerings are laid below, and a host of diminutive deities assemble above to make this votive image more auspicious by their presence. They are comprised of Shiva in his aniconic form as the lingam, Shiva's sons Ganesha and Kartikeya, and the nine planetary bodies in Indian astronomy — the navagraha",
169,Tombstone Epitaph of Haji Shariatullah (সমাধিলিপি),8,Islamic History / Medieval Bengal section,,Faridpur District,,,"A stone epitaph (mazarlipi or qabrlipi) bearing the tombstone inscription of Haji Shariatullah (c. 1781–1840 CE), founder of the Faraizi Movement (Faraezi Andolan) — one of the most significant Islamic reform movements in 19th-century Bengal and a major precursor to the broader social and anti-colonial consciousness that eventually shaped the independence movements of South Asia. The inscription is engraved in dense naskh Arabic script on a rectangular black stone slab, beginning at the top with the Bismillah — Bismillah al-Rahman al-Rahim (""In the name of God, the Most Gracious, the Most Merciful"") — in an ornamental cartouche, followed by multiple lines of Arabic text recording the death, identity, and religious standing of the deceased. The date 1255 AH / 1840 CE is visible in the lower registers of the inscription. The clarity of the engraving and the density of the text suggest this was the work of a skilled professional calligrapher-stonemason, likely in the Persian-Arabic epigraphy tradition that flourished in Bengal under Mughal and later Nawabi patronage. Haji Shariatullah was born in Bahadurpur, Faridpur district. He spent approximately twenty years studying in Mecca, where he came under the influence of the Wahhabi reform movement of Muhammad ibn Abd al-Wahhab and the broader movement for returning Islamic practice to its scriptural fundamentals. Returning to Bengal around 1820, he founded the Faraizi movement — named for its central emphasis on the faraiz (obligatory duties/pillars of Islam) — which called for: Strict adherence to Quranic obligations and rejection of what he considered un-Islamic innovations (bid'ah) that had entered Bengali Muslim practice The declaration that Friday prayers and Eid prayers were not obligatory in Bengal as it was Dar al-Harb (territory under non-Muslim rule) — a controversial ruling that distinguished his movement from others Opposition to exploitative indigo planters and zamindars — making the Faraizi movement simultaneously a religious reform and a peasant resistance movement against British colonial economic oppression Shariatullah died in Bahadurpur, Faridpur in 1840 and was buried there. His son Dudu Miyan (Muhammad Muhsinuddin) continued and radicalised the movement after his death. The removal of his tombstone inscription from Faridpur to the BNM has preserved what would otherwise be a vulnerable outdoor epigraphic record, making the museum the primary custodian of this material document of one of Bengal's most important 19th-century religious and social leaders.",
170,Inscribed Pillar (Stambha) — Kamboja Dynasty,8,History and Classical Art,966 CE (confirmed date in inscription),"Bangarh, West Dinajpur District, India (now South Dinajpur)",25,,"A monumental inscribed black stone pillar, standing 255 cm tall, erected in 966 CE by order of a king of the Kamboja dynasty — making it one of the most precisely dated pieces of monumental stone architecture from 10th-century Bengal in any museum collection, and a primary historical document of one of the least studied dynasties of early medieval Bengal. The pillar is octagonal in plan — its eight faces carrying the continuous decorative programme around its circumference — and tapers slightly from a broader square base to a more slender shaft and an elaborately carved capital. The carved decoration is organised in horizontal registers of diminishing height as the pillar ascends. The lower section bears figural carved panels — divine or royal figures within arched niches. The middle shaft carries bands of floral and geometric ornament in the mature Pala-period North Bengal idiom. The capital is the most elaborately worked section, with multiple stacked bands of dense interlaced foliage, kirtimukha (monstrous face of glory), and pearl borders beneath the broad flat top of the capital. The inscription — confirming the date of 966 CE and the Kamboja dynastic identity — would be carved on one or more faces of the shaft or base. The Kamboja Dynasty in Bengal: The Kambojas were a people of northwestern origin — associated in ancient sources with the Kamboja country of the northwest frontier — who established a ruling dynasty in North Bengal in the 10th–11th centuries, displacing the weakened Pala rulers. The Kamboja-Pala dynasty, known by this name in the 10th and 11th centuries, established control over North and East Bengal after defeating the Pala rulers. Rajyapala was the founder of this dynasty, and the history of this dynasty is found in the Irda copper plate inscription. The 966 CE date on this pillar would place it in the reign of one of the earliest Kamboja rulers of Bengal — contemporary with or immediately following Rajyapala's consolidation of power — making it a primary epigraphic witness to the Kamboja takeover of North Bengal. The Bangarh provenance is significant: Bangarh (ancient Kotivarsya) was the most important administrative centre of North Bengal under successive dynasties, and the erection of a monumental inscribed pillar there was a deliberate act of political legitimation — claiming the ancient capital and its authority for the new Kamboja rulers.",
171,Stone Pillar (Stambha),8,History and Classical Art,13th century CE (late Sena / early Sultanate transitional period),Barisal Distric,26,,"A sandstone temple pillar of the 13th century from Barisal district — one of the very few stone architectural elements in the BNM collection from South Bengal and from the period immediately preceding the Muslim Sultanate's consolidation of power over Bengal. The warm buff-grey colour and granular texture of the sandstone contrasts sharply with the fine black basalt of the Pala-period sculptures surrounding it in the gallery, immediately signalling a different geological source, a different regional tradition, and a different historical moment. The pillar is composed of three clearly differentiated sections. The base is square in plan with deeply carved ornamental panels on each face — small standing deity figures in arched niches are visible on two faces of the base in the photograph, each figure richly detailed despite the smaller scale, representing the guardian deities or dvarapalas that conventionally flank temple entrances and structural supports. Above the base, a concave moulding marks the transition to the shaft, which is circular in plan and carries multiple horizontal bands of carved ornament: a band of elongated pendant forms (alambi) in the lower shaft, above which a band of interlaced or knotted floral ornament fills the mid-section, and above that a further band of scrollwork. The capital is a large, fluted bell or cushion form (ghata-pallava or kalasa capital) of substantial diameter, with a beaded ring at its junction with the shaft and a flat abacus on top. The 13th-century dating places this pillar at the most turbulent transitional moment in Bengal's cultural history — the period of the initial Muslim conquests of Bengal under Bakhtiyar Khilji (1203 CE) and the subsequent establishment of the Bengal Sultanate. The construction of a stone temple in Barisal in the 13th century — using the indigenous sandstone architectural tradition rather than the black basalt of the North Bengal school — indicates that Brahmanical temple construction continued in South Bengal even as political authority was transitioning, and that regional stone-carving traditions distinct from the Pala mainstream persisted into this period. The pillar is among the rare physical survivals of this transitional architectural moment in the BNM collection.",
172,Varaha Avatara,8,Pre-Islamic Art and Sculpture Gallery,11th century CE (Pala period),"Bogra (Gokul, Bogra district)",27,,"This sculpture depicts Vishnu in his Varaha (boar-headed) incarnation, rescuing the Earth Goddess from cosmic waters. Vishnu stands in alidha posture, with his right foot pressing upon the serpent Adisesa and his left bent upon a lotus upheld by the Naga king’s consort. His four hands hold the traditional attributes — gada (mace), chakra (discus), padma (lotus), and shankha (conch) — though the upper right hand and mace are broken. The upper left hand supports a small female figure in anjali mudra, identified as the Earth Goddess (Prithvi). Vishnu is richly adorned with ornaments: necklace, earrings, armlets, girdle, and sacred thread (upavita). A vanamala garland flows down to his knees. At the pedestal, Garuda is shown at the center, while worshippers kneel on either side in reverence. The prabhavali (back-slab) rises behind him, crowned with an inverted lotus and a kirtimukha at the top. Two vidyadharas approach with garlands. Despite slight mutilation on the left edge, the sculpture retains its grandeur. This Varaha image embodies the Pala dynasty’s mastery of iconography, blending mythological narrative with refined stone carving. It symbolizes Vishnu’s cosmic role as preserver, saving the Earth from chaos and reaffirming divine kingship.",
173,Devi Gauri,8,Pre-Islamic Art and Sculpture Gallery,12th century,"Paikpara, Munshiganj",28,,"This sculpture represents Devi Gauri, a serene and auspicious manifestation of Parvati/Durga, revered as the embodiment of purity, fertility, and maternal power. The figure is carved in chaturbhuja (four-armed) form, holding symbolic attributes: rosary (japamala), lotus flower, water pot (kamandalu), and one hand in abhaya mudra (gesture of reassurance). In some iconographic traditions, she may also hold a trident (trishula). The goddess is adorned with bright ornaments — necklaces, bangles, mangalsutra, and nose-ring — and wears a richly carved sari, reflecting the Pala-Sena style of sculpture. Her face is calm and luminous, symbolizing her transformation from ascetic Parvati to radiant Gauri after penance and divine blessing. At her feet, depictions of her vahana (vehicle) vary: sometimes a lizard (godha), sometimes a lion, linking her to Durga’s martial aspect. The back-slab (prabhavali) often features a crescent moon and accompanying deities such as Lakshmi, Saraswati, Kartikeya, and Ganesha, emphasizing her role as mother and cosmic matriarch. This sculpture is a rare and significant example of Mahagauri iconography in Bengal, combining local stylistic features with pan-Indian goddess traditions. It highlights the Pala-Sena period’s devotion to Shakti and the artistic mastery of black basalt carving.",
174,Devi Chandi (চণ্ডী) — Fierce form of Parvati/Durga,8,,10th century CE (Pala period),"Vajrayogini, Munshiganj",29,,"This sculpture represents Devi Chandi, the fierce manifestation of Parvati/Durga, revered as the embodiment of Shakti. According to the Markandeya Purana, Chandi is the slayer of demons such as Shumbha, Nishumbha, Chanda, and Munda, and in her Durga form she defeats Mahishasura. The figure is carved in black basalt, standing with powerful posture and adorned with ornaments — necklaces, earrings, armlets, and a sacred thread. Her multiple arms (depending on iconographic variation) hold weapons and symbols of divine power, including trident, sword, lotus, and conch, while one hand is often in abhaya mudra (gesture of protection). The back-slab (prabhavali) is decorated with celestial motifs, including kirtimukha at the top, symbolizing the warding off of evil. Chandi’s fierce yet protective expression embodies her dual role as destroyer of demons and guardian of devotees.",
175,Silver Punch-Marked Coins (Karshapana),6,Gallery 1 — Ancient Currency,4th–2nd century BCE,"Bengal region / Wari-Bateshwar, Narsingdi",30,Bangladesh Bank collection / excavation finds,"Among the oldest coins found in the Indian subcontinent, these irregular silver punch-marked coins were cut from bars and stamped with symbols — sun, moon, hill, elephant, tree — each representing a specific authority. Thousands were excavated at Wari-Bateshwar, Narsingdi, pointing to an advanced ancient trading center. The museum's collection spans several types representing the earliest chapter of monetary history in Bengal.",
176,Cowry Shells (Kauri) — Ancient Trade Currency,6,Gallery 1 — Ancient Currency,Pre-historic – 19th century CE,Bengal (imported from Maldive Islands),31,Bangladesh Bank collection,"Cowry shells served as small-denomination currency in Bengal for thousands of years, imported from the Maldive Islands through ancient Indian Ocean trade. Durable, uniform, and difficult to counterfeit, they were used for everyday low-value transactions alongside metal coins, remaining in use in rural areas well into the early 20th century. The display traces the longest-serving currency medium in Bengal's monetary history.",
177,Indo-Greek Silver Coins (Drachm),6,Gallery 1 — Ancient Currency,2nd–1st century BCE,Bactria / Northwest India (trade finds in Bengal),32,Bangladesh Bank collection / donated specimens,"Coins of the Greek kings who ruled in Bactria following Alexander's conquests, with Hellenistic portraits of kings on the obverse and Greek deities on the reverse. Their appearance in Bengal demonstrates long-distance trade connections. These are among the most artistically refined coins of the ancient world, and among the most unusual artifacts in the collection.",
178,Kushan Empire Coins (Gold & Copper),6,Gallery 1 — Ancient Currency,30–375 CE (Kushan period),Bengal / Northwest India,33,Bangladesh Bank collection,"Gold and copper coins of the Kushan Empire — the powerful Central Asian dynasty controlling Silk Road trade. Kushan coins are iconographically diverse: emperors standing or on horseback on the obverse; Shiva, Buddha, Mithra, and fire-altar deities on the reverse, reflecting a multi-religious empire. Kushan-period coins found across the Bengal delta evidence active trade with overland routes through Kushan-controlled territory.",
179,Harikel / Harikela Coins (Silver),6,Gallery 1 — Ancient Currency,7th–9th century CE,"Coastal Bengal — Sylhet, Noakhali, Mainamati (Comilla), Chittagong",34,Excavation finds including Mainamati (large collection),"Harikela silver coins were the dominant currency of coastal Bengal, circulating widely in Bay of Bengal maritime trade zones with Southeast Asia, Sri Lanka, and the Arab world. Bearing stylized symbols derived from Gupta-period traditions, a major cache was excavated at Mainamati. This display is the most significant assembly of Harikela coins in Bangladesh.",
180,Gold Coins of Chandragupta (Gupta Period),6,Gallery 1 — Ancient Currency,4th–5th century CE (Gupta dynasty),Bengal / North India,35,Bangladesh Bank collection (rare exhibit),"Gold coins of Chandragupta II (Vikramaditya) — described by the museum's keeper as one of Gallery 1's main attractions. Among the most beautifully designed ancient coins in the world, Gupta coins show the king hunting lion from horseback, playing the vina, or standing with a bow; the reverse shows goddess Lakshmi. Their presence underscores Bengal's participation in the Gupta imperial economic and cultural zone.",
181,Delhi Sultanate Gold Coins (Tanka),6,Gallery 1 — Medieval Currency,13th–15th century CE,Delhi Sultanate mints (circulated in Bengal),36,Bangladesh Bank collection / donated specimens,"Gold tankas of Delhi Sultanate sultans — specifically mentioned among the museum's prize exhibits. Issued under Iltutmish, Alauddin Khalji, and Muhammad bin Tughluq, these coins bear the sultan's name and titles in Arabic naskh calligraphy, the kalima, and the mint name. The Sultanate-period tanka became the basis of subsequent Bengali monetary systems.",
182,Bengal Sultanate Coins — Silver & Gold Tanka,6,Gallery 1 — Medieval Currency,14th–16th century CE (Bengal Sultanate),"Bengal Sultanate mints: Firuzabad, Pandua, Sonargaon",37,Bangladesh Bank collection,"A comprehensive display covering coins of major Bengal sultans including Shamsuddin Ilyas Shah, Alauddin Hussain Shah, and Nusrat Shah. Silver tankas bear fine Arabic calligraphy with the sultan's name, titles, kalima, and mint city. The gold tankas are especially rare. The series documents nearly two centuries of independent Bengali Muslim rule, and the mint cities reveal the geography of the sultanate's capitals.",
183,Mughal Empire Coins — Gold Mohur & Silver Rupee,6,Gallery 1 — Medieval Currency,16th–18th century CE (Mughal period),"Mughal imperial mints: Akbarpur, Rajmahal, Dhaka (Jahangirnagar)",38,Bangladesh Bank collection,"A display of Mughal gold mohurs and silver rupees — the standardized imperial coinage dominating Bengal's monetary economy from 1576 until the mid-18th century. The obverse bears the emperor's name in Persian nasta'liq; the reverse carries the mint city, regnal year, and sometimes a Persian poetry couplet. Special focus on Dhaka (Jahangirnagar) mint coins — the Mughal provincial capital of Bengal — representing the economic output of Bangladesh's most important historical city.",
184,"Coin Minting Dies — Kremnica, Japan & Germany",6,Gallery 1 — Coin Production,Modern (various dates),Kremnica Mint (Slovakia); Japan Mint (Osaka); Germany,39,Donated by respective mints to Bangladesh Bank,"A special display of master coin-minting dies from three of the world's most celebrated mints — specifically highlighted as major attractions by the museum's keeper. The Kremnica Mint (founded 1328, Slovakia) is one of the world's oldest continuously operating mints. The Japan Mint (Osaka) is renowned for extraordinary precision and artistic quality. The German die represents European minting tradition. Displayed together, they allow visitors to understand the mechanical core of coin production across different national traditions.",
185,Ancient Coin Storage Pot & Wooden Coin Boxes,6,Gallery 1 — Ancient Currency,Various periods (medieval era vessels),"Multiple excavation sites, Bangladesh",40,Excavation finds; Bangladesh Bank collection,"Clay pots and wooden boxes used to hoard and conceal coins — displayed alongside their associated coin finds. Hoards buried in pots are among the most important sources of ancient and medieval coins in Bangladesh: people buried savings during political instability, intending to recover them later. The display shows several vessel types matched to the coin types they contained, from ancient punch-marked silver to Sultanate tankas. Iron coin chests used by banks and money-lenders are also shown.",
186,British India Coins — East India Company & Crown Series,6,Gallery 1 — Colonial Currency,1757–1947 CE (British colonial period),"Calcutta Mint, British India",41,Bangladesh Bank collection,"A comprehensive display of East India Company and British Crown coins issued for India from 1757 to 1947 — covering Queen Victoria, Edward VII, George V, and George VI. Includes silver rupees, 8 annas, 4 annas, 2 annas, 1 anna, and pice denominations. The display documents the colonial monetization of Bengal, the displacement of local tanka currency, and a special 1947 series issued in the year of independence. These were the everyday coins of Bangladesh's territory for nearly two centuries.",
187,Pakistani Rupee — Coins & Notes (1947–1971),6,Gallery 1 — Pakistan Period Currency,1947–1971 CE (Pakistan period),State Bank of Pakistan,41,Bangladesh Bank collection,"A complete display of Pakistani rupee coins and banknotes that served as the official currency of East Pakistan (present-day Bangladesh) from 1947 to 1971. The banknotes' bilingual evolution — Urdu and Bengali — reflects the Language Movement's political impact on currency design. The collection includes all denominations from 1 paisa to 100 rupees, providing a full visual record of the monetary tokens of an era that ended with Bangladesh's independence in 1971.",
188,First Bangladesh 1-Taka Note — 'Map Series' (1972),6,Gallery 1 — Bangladesh Currency,4 March 1972 CE,Government of Bangladesh / Security Printing Press,42,Bangladesh Bank archive,"The first official currency note of independent Bangladesh — the 1-taka 'Map Series', issued on 4 March 1972, just over three months after independence. The obverse features a map of Bangladesh; the reverse shows guilloche patterns. This note bears the Finance Secretary's signature (not the Bangladesh Bank Governor's), as the 1-taka is a government instrument. It remained legal tender until 30 March 1974. The most historically charged object in the museum: the moment Bangladesh expressed sovereignty through its own currency.",
189,First Bangladesh 10-Taka Note with Bangabandhu Portrait (1972),6,Gallery 1 — Bangladesh Currency,2 June 1972 CE,Bangladesh Bank / Security Printing Press,43,Bangladesh Bank archive,"The first 10-taka note issued by Bangladesh Bank (2 June 1972), featuring a portrait of Bangabandhu Sheikh Mujibur Rahman — the Father of the Nation — on the obverse. This was the first Bangladesh Bank note to carry his portrait, making it a founding document of the nation's currency visual identity. Its introduction six months after independence, while Bangladesh was still rebuilding from the Liberation War, represents an extraordinary institutional achievement.",
190,First Bangladeshi Coins — Paisa Series (1973),6,Gallery 1 — Bangladesh Currency,1973 CE,Bangladesh Security Printing Press / Foreign mints,44,Bangladesh Bank archive,"The first coins of independent Bangladesh — the 5, 10, 25, and 50 paisa denominations of 1973, bearing the national emblem of Bangladesh (a water lily flanked by rice sheaves, surmounted by three jute leaves, encircled by two stars). These were the first metal coins to carry the national emblem. Introducing coinage was a critical step in establishing Bangladesh's monetary system alongside paper notes.",
191,"Commemorative Notes — Mujib Centenary, Golden Jubilee, Nazrul",6,Gallery 1 — Bangladesh Currency,2020–2021 CE,Bangladesh Bank,45,Bangladesh Bank archive,"Three landmark commemorative notes: (1) Polymer note for the Birth Centenary of Bangabandhu (17 March 2020), featuring his portrait and Liberation War scenes; (2) Polymer note for the Golden Jubilee of Independence (26 March 2021), depicting 50 years of national development; and (3) Paper note honoring Kazi Nazrul Islam, the National Poet. These notes document how Bangladesh Bank uses currency as a medium of national commemoration and cultural identity.",
192,"Rare Banknotes — USSR, Germany, Japan Military Yen",6,Gallery 2 — World Currencies,20th century CE,USSR; East & West Germany; Imperial Japan,41,Bangladesh Bank collection / donated specimens,"Specifically highlighted by the museum's keeper as major attractions: Soviet ruble notes spanning the 1920s to 1991, documenting socialist iconography and the eventual collapse of the USSR; East and West German Deutsche Mark and Ostmark notes showing how one divided nation maintained two ideologically distinct currencies (1948–1990); and pre-WWII Japanese military yen and occupation currency from Southeast Asian territories. Together they illustrate currency as an instrument of political power and ideology.",
193,"Currencies of Extinct Nations — Yugoslavia, Czechoslovakia",6,Gallery 2 — World Currencies,20th century CE,Yugoslavia; Czechoslovakia,41,Bangladesh Bank collection,Banknotes from Yugoslavia and Czechoslovakia — nations that no longer exist. Yugoslav dinar notes span a monarchist federation through socialist Yugoslavia to catastrophic hyperinflation (500 billion dinar notes among the most dramatic documents of monetary collapse). Czechoslovak koruna notes reflect a stable socialist economy that peacefully divided in 1993. These illustrate the theme of currency as witness to political transformation.,
194,"Dolphin Coin of Ancient Olbia (Greek Colony, Black Sea)",6,Gallery 1 — Ancient Currency,6th–3rd century BCE,"Olbia, Greek colony, Black Sea (present-day Ukraine)",46,Bangladesh Bank collection (rare international exhibit),"Cited as one of the museum's most remarkable exhibits: a dolphin-shaped cast bronze coin from ancient Olbia, over 2,500 years old. Rather than disk-shaped, Olbia's early currency took the form of miniature dolphins — believed to derive from earlier arrow-shaped proto-currency and the dolphin's sacred significance in Greek maritime culture. Extremely rare in South Asian collections, this coin represents one of the world's most distinctive early monetary forms.",
195,Money Tree Steel Mural (Museum Entrance),6,Museum Entrance Hall,2013 CE (commissioned for museum opening),"Left wall, museum entrance, Mirpur, Dhaka",47,"Commissioned by Bangladesh Bank; artists Hashem Khan, Shyamal Chowdhury, Shantanu Khan","A 'money tree' (taka gaach) mural on steel embedded with coin replicas from different historical periods, created by three prominent Bangladeshi artists. The tree's branches hold coins from ancient punch-marked silver through modern taka, providing a visual timeline of the entire collection before visitors enter. The concept draws on a universal folk motif of wealth and organic growth.",
196,Narsingdi Archaeological Coin Hoard (Wari-Bateshwar),6,Gallery 1 — Ancient Currency,4th century BCE – 2nd century CE,"Wari-Bateshwar, Narsingdi District",48,"Excavation find, transferred from Dept. of Archaeology","Display of coins and related artifacts from the extraordinary Wari-Bateshwar hoard — described as 'several thousand artifacts' pointing to ancient Bengal's trade routes. Wari-Bateshwar was a major trading city connected to the Roman world and Southeast Asia. The hoard includes punch-marked silver coins, rouletted ware pottery, and semi-precious stone beads. It is the most important archaeological numismatic find from Bangladesh.",
197,World Currency Collection — ~200 Countries (Gallery 2),6,Gallery 2 — World Currencies,20th–21st century CE,Central banks of ~200 countries worldwide,49,Donated by central banks and governments; collected by Bangladesh Bank,"Gallery 2 houses paper, polymer, and hybrid notes and coins from approximately 200 countries — the museum's most internationally diverse exhibit. Includes currencies from Switzerland, Germany, Australia, Japan, USA, England, Spain, Argentina, India, Pakistan, China, Vietnam, Bulgaria, Cambodia, Mauritius, Kazakhstan, Syria, Bahrain, Oman, Philippines, Sri Lanka, Qatar, UAE, Kuwait, South Africa, and many more. Some were donated directly by central banks or diplomatic missions. Also includes currencies of defunct nations, making it a comprehensive archive of 20th-century world monetary history.",
198,3D LCD Interactive Display & Souvenir Kiosk,6,Technology & Interactive Gallery,2013 CE,"Gallery 1 & 2, Bangladesh Bank Taka Museum, Mirpur",50,"Bangladesh Bank (installed at inauguration, 5 October 2013)","3D television and LCD display panels providing audio-visual interpretation of currency history, installed at the museum's 2013 inauguration per Governor Dr. Atiur Rahman's directive for a 'modern digital' museum. The digital kiosk allows visitors to print a souvenir note bearing their own face for Tk 50 — a popular feature especially with school groups. Animated sequences show the evolution of coins and banknotes, the mechanics of coin-minting, and the global spread of monetary systems.",
199,Ancient Hindu Stone Sculpture — Deity Figure,9,Gallery 3 — Archaeological Artifacts,7th–12th century CE,Barisal Division region (excavation finds),51,Department of Archaeology collection transfer,"A black stone deity sculpture recovered from an archaeological site within Barisal Division, representing the strong Hindu religious traditions of the ancient Chandradwip kingdom. The figure is carved in the typical Bengal style of the Pala-Sena period, with elaborate jewelry, headdress, and multiple arms holding iconographic attributes. Stone sculptures from this region document the sophisticated artistic traditions of ancient South Bengal before the arrival of Islam.",
200,Terracotta Plaques — Decorative Architectural Fragments,9,Gallery 3 — Archaeological Artifacts,Medieval period (10th–16th century CE),"Various excavation sites, Barisal Division",52,Department of Archaeology,"Terracotta plaques with decorative motifs — floral scrolls, geometric patterns, lotus flowers, and mythological scenes — recovered from medieval temple and mosque sites across Barisal Division. The Barisal region, known historically as Chandradwip, was an independent Hindu-Buddhist kingdom before coming under Muslim rule, and its terracotta decorative tradition reflects that layered cultural heritage. These plaques are among the most visually striking exhibits in Gallery 3.",
201,Intricately Designed Historic Bricks,9,Gallery 3 — Archaeological Artifacts,Medieval period,"Various sites, Barisal Division",53,Department of Archaeology excavation,"A collection of intricately crafted bricks from medieval structures in Barisal Division — specifically mentioned as signature exhibits of the museum. Some bricks bear stamped or incised decorative patterns; others are notable for their large Sultanate-period dimensions and dense firing. The Chandradwip kingdom was a prosperous region noted for its brick construction, and these specimens document the region's building traditions across the medieval period.",
202,Old Coins Collection — Various Periods,9,Gallery 3 — Archaeological Artifacts,Sultanate to British colonial period (14th–20th century CE),Barisal Division (excavation and collection),41,Department of Archaeology collection,"A collection of coins spanning from the Bengal Sultanate period through the Mughal and British colonial eras, recovered from various sites within Barisal Division. The collection includes Bengal Sultanate silver tankas, Mughal rupees, and British India coins. The region's position as a major trading hub of South Bengal made it a center of monetary circulation, and coins from multiple periods and dynasties have been recovered from its soil.",
203,Ancient Pottery & Ceramic Utensils,9,Gallery 3 — Archaeological Artifacts,Medieval period,"Various excavation sites, Barisal Division",41,Department of Archaeology,"A collection of ancient pottery and ceramic utensils — water storage vessels, cooking pots, serving bowls, and storage jars — recovered from excavations across Barisal Division. These everyday objects document the material culture of the people who lived in the Chandradwip kingdom and its successor polities. The forms range from plain utilitarian ware to finely finished vessels with geometric incised decoration.",
204,Traditional Musical Instruments of South Bengal,9,Gallery 6 — Cultural Heritage,19th–20th century CE,Barisal Division,41,Donated by local cultural organizations and folk artists,"A collection of traditional musical instruments from the folk music tradition of South Bengal (Barisal Division): the dotara (two-string lute), the dhol (double-headed drum), the ektara (one-string drone lute), the bashi (bamboo flute), and the khamak (plucked percussion). Barisal Division has a rich folk music tradition including baul songs, bhatiali (river songs), and jari music associated with Muharram. These instruments document the living musical heritage of the region.",
205,Traditional Costumes & Textiles of Barisal,9,Gallery 6 — Cultural Heritage,19th–20th century CE,Barisal Division,41,Donated by local families and cultural foundations,"Displays of traditional costumes and textiles from Barisal Division's diverse communities — including the white cotton sari worn by Hindu women, the embroidered kameez of Muslim women, the lungi and panjabi of men, and samples of locally woven fabrics. Barisal was historically a major center of cotton cultivation and hand-loom weaving, and these textiles document the material culture of its communities before industrial textile production transformed everyday dress.",
206,"Religious Artifacts — Hindu, Buddhist & Islamic",9,Gallery 3 & 6 — Archaeological & Cultural,7th–20th century CE,"Various sites, Barisal Division",41,Department of Archaeology and donated items,"A mixed display of religious artifacts reflecting the multi-religious history of Barisal Division: Hindu deity images in stone and bronze; a small bronze Buddha figure from the Buddhist period of the Chandradwip region; Islamic calligraphic tiles and a mosque lamp from the Sultanate-Mughal period; and a brass Hindu puja set from the 19th century. The collection documents the successive religious traditions that shaped the culture of South Bengal across 1,500 years.",
207,Historical Documents & Photographs — Barisal Region,9,Gallery 7 — Historical Traditions,British colonial period – 1971 CE,Barisal city and Division,41,"Donated by families, National Archives of Bangladesh","A collection of historical documents and photographs relating to Barisal Division's administrative, cultural, and political history: colonial-era revenue maps of the Chandradwip region, photographs of the historic Barisal Collectorate Building (now the museum itself), documents from the Language Movement of 1952, photographs of the 1971 Liberation War in Barisal, and portraits of prominent personalities from the region including poets, educators, and freedom fighters.",
208,Geographic & Natural History Displays — Barisal Division,9,Gallery 1 — Geography & Natural Environment,Contemporary (exhibit created 2015),"Barisal Division (Sundarbans fringe, river delta)",54,Department of Archaeology / Ministry of Cultural Affairs,"Gallery 1 of the museum presents the geography and natural environment of Barisal Division — one of the most hydrologically complex regions of Bangladesh, composed almost entirely of river delta formed by the Meghna, Tetulia, Arial Khan, and hundreds of smaller rivers. The exhibit includes topographic maps, hydrological diagrams, satellite images, and natural specimens — flora and fauna of the southern delta and the mangrove fringe adjacent to the Sundarbans. The Barisal Division is known as the 'Venice of Bengal' for its thousands of river channels.",
209,Portraits & Biographies — Prominent Personalities of Barisal,9,Gallery 2 — Prominent Personalities,19th–20th century CE,Barisal Division,41,Donated by families and cultural institutions,"Gallery 2 is dedicated to prominent personalities of Barisal Division — the region that produced an remarkable concentration of Bengali intellectuals, writers, scientists, and politicians. The display includes portraits and biographies of poet Jibanananda Das (one of the most celebrated Bengali poets of the 20th century, born in Barisal), Aghor Nath Guha, Ashwini Kumar Dutta (educator and nationalist leader), Surendranath Haldar, and others. The gallery documents Barisal's exceptional contribution to Bengali intellectual and cultural life.",
210,The Collectorate Building — Colonial Architectural Heritage,9,Gallery 9 — Collectorate Building History,1821 CE (constructed); 2015 CE (museum opening),"Sadar Road, Barisal City",55,Government of Bangladesh / Department of Archaeology,"The museum building itself — the historic Barisal Collectorate Building, constructed in 1821 during the British colonial period — is displayed and interpreted as a heritage artifact. Gallery 9 presents the architectural history, construction techniques, and administrative significance of the building. Declared a protected archaeological site in 2003, it was abandoned by the Public Works Department in 1984 and transferred to the Department of Archaeology in 2005 for museum conversion. The Neoclassical colonial administrative architecture represents a significant layer of Barisal's physical heritage.",
